WARNING 2025-04-25 20:24:31,813 log 17148 13332 Not Found: /api/patients
WARNING 2025-04-25 20:24:31,814 basehttp 17148 13332 "GET /api/patients HTTP/1.1" 404 2685
WARNING 2025-04-25 20:24:50,890 log 17148 21644 Not Found: /api/patients/
WARNING 2025-04-25 20:24:50,891 basehttp 17148 21644 "GET /api/patients/ HTTP/1.1" 404 2688
WARNING 2025-04-25 20:24:59,732 log 17148 14852 Not Found: /api/neurologists/
WARNING 2025-04-25 20:24:59,733 basehttp 17148 14852 "GET /api/neurologists/ HTTP/1.1" 404 2700
WARNING 2025-04-25 20:25:04,867 log 17148 30544 Not Found: /neurologists/
WARNING 2025-04-25 20:25:04,868 basehttp 17148 30544 "GET /neurologists/ HTTP/1.1" 404 2679
INFO 2025-04-25 20:26:17,446 autoreload 17148 32712 C:\Users\gideo\OneDrive\Documents\Computer Science\CS 110 &120\Django\CS120-Project\api\views.py changed, reloading.
INFO 2025-04-25 20:26:19,159 autoreload 19520 29604 Watching for file changes with StatReloader
INFO 2025-04-25 20:26:41,248 autoreload 19520 29604 C:\Users\gideo\OneDrive\Documents\Computer Science\CS 110 &120\Django\CS120-Project\api\views.py changed, reloading.
INFO 2025-04-25 20:26:41,866 autoreload 30192 5872 Watching for file changes with StatReloader
INFO 2025-04-25 20:26:47,641 autoreload 30192 5872 C:\Users\gideo\OneDrive\Documents\Computer Science\CS 110 &120\Django\CS120-Project\api\serializers.py changed, reloading.
INFO 2025-04-25 20:26:48,174 autoreload 34716 19032 Watching for file changes with StatReloader
INFO 2025-04-25 20:26:52,807 autoreload 34716 19032 C:\Users\gideo\OneDrive\Documents\Computer Science\CS 110 &120\Django\CS120-Project\api\urls.py changed, reloading.
INFO 2025-04-25 20:26:53,276 autoreload 6412 7024 Watching for file changes with StatReloader
INFO 2025-04-25 20:28:03,593 autoreload 6412 7024 C:\Users\gideo\OneDrive\Documents\Computer Science\CS 110 &120\Django\CS120-Project\api\serializers.py changed, reloading.
INFO 2025-04-25 20:28:04,494 autoreload 20784 24852 Watching for file changes with StatReloader
INFO 2025-04-25 20:28:59,186 autoreload 20784 24852 C:\Users\gideo\OneDrive\Documents\Computer Science\CS 110 &120\Django\CS120-Project\api\views.py changed, reloading.
INFO 2025-04-25 20:28:59,810 autoreload 1788 11644 Watching for file changes with StatReloader
INFO 2025-04-25 20:30:49,813 autoreload 17932 1676 Watching for file changes with StatReloader
WARNING 2025-04-25 20:30:55,807 log 1788 24308 Not Found: /
WARNING 2025-04-25 20:30:55,813 basehttp 1788 24308 "GET / HTTP/1.1" 404 2735
WARNING 2025-04-25 20:30:55,820 log 1788 31092 Not Found: /
WARNING 2025-04-25 20:30:55,820 basehttp 1788 31092 "GET / HTTP/1.1" 404 2735
WARNING 2025-04-25 20:30:55,829 log 1788 22016 Not Found: /
WARNING 2025-04-25 20:30:55,829 basehttp 1788 22016 "GET / HTTP/1.1" 404 2735
WARNING 2025-04-25 20:30:57,584 log 1788 22016 Not Found: /favicon.ico
WARNING 2025-04-25 20:30:57,586 basehttp 1788 22016 "GET /favicon.ico HTTP/1.1" 404 2786
WARNING 2025-04-25 20:30:57,596 log 1788 31092 Not Found: /favicon.ico
WARNING 2025-04-25 20:30:57,596 basehttp 1788 31092 "GET /favicon.ico HTTP/1.1" 404 2786
WARNING 2025-04-25 20:30:57,799 log 1788 31092 Not Found: /favicon.ico
WARNING 2025-04-25 20:30:57,799 basehttp 1788 31092 "GET /favicon.ico HTTP/1.1" 404 2786
INFO 2025-04-25 20:31:01,592 basehttp 1788 31092 "GET /api HTTP/1.1" 301 0
WARNING 2025-04-25 20:31:01,725 log 1788 22016 Forbidden: /api/
WARNING 2025-04-25 20:31:01,726 basehttp 1788 22016 "GET /api/ HTTP/1.1" 403 4883
INFO 2025-04-25 20:31:02,025 basehttp 1788 20556 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-04-25 20:31:02,028 basehttp 1788 20556 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-04-25 20:31:02,031 basehttp 1788 20556 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-04-25 20:31:02,032 basehttp 1788 20556 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-04-25 20:31:02,034 basehttp 1788 24308 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-04-25 20:31:02,035 basehttp 1788 20556 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-04-25 20:31:02,036 basehttp 1788 24308 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-04-25 20:31:02,040 basehttp 1788 2976 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-04-25 20:31:02,043 basehttp 1788 26728 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-04-25 20:31:02,045 basehttp 1788 27416 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-04-25 20:31:02,045 basehttp 1788 22016 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-04-25 20:31:02,058 basehttp 1788 27416 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-04-25 20:31:19,539 basehttp 1788 16536 "GET /admin/ HTTP/1.1" 200 13110
INFO 2025-04-25 20:31:19,655 basehttp 1788 16536 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,656 basehttp 1788 14864 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,657 basehttp 1788 14864 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,657 basehttp 1788 16536 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,659 basehttp 1788 14864 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,900 basehttp 1788 16536 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,900 basehttp 1788 14864 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,929 basehttp 1788 14864 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-04-25 20:31:19,929 basehttp 1788 16536 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-04-25 20:31:38,321 basehttp 1788 31440 "GET /api HTTP/1.1" 301 0
INFO 2025-04-25 20:31:38,343 basehttp 1788 2288 "GET /api/ HTTP/1.1" 200 5883
INFO 2025-04-25 20:31:38,418 basehttp 1788 2288 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-04-25 20:31:38,423 basehttp 1788 2288 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-04-25 20:31:38,429 basehttp 1788 2288 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-04-25 20:31:38,441 basehttp 1788 2288 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-04-25 20:31:38,447 basehttp 1788 2288 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-04-25 20:31:38,450 basehttp 1788 2288 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-04-25 20:31:38,453 basehttp 1788 2288 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
